,HY_2080_1#FIQC102_2.PV,HY_2080_1#FIC103_2.PV,HY_2080_1#FIC8.PV,HY_2080_1#FIC8.MV,HY_2080_1#FI702.PV,HY_2080_1#FIC701.PV,HY_2080_1#FIC1_1.PV,HY_2080_1#FI105.PV,HY_2080_1#FIQ101.PV,HY_2080_1#FI131.PV,HY_2080_1#AIAS102.PV,HY_2080_1#AIAS103.PV,HY_2080_1#AI701.PV,HY_2080_1#TIA703.PV,HY_2080_1#AI705.PV,HY_2080_1#AIAS704.PV,HY_2080_1#PIC104.PV,HY_2080_1#PdI2.PV,HY_2080_1#PIA2.PV,HY_2080_1#PdI1.PV,HY_2080_1#PI1.PV,HY_2080_1#TI1003.PV,HY_2080_1#LIC701.PV,HY_2080_1#FIC3.MV,HY_2540_1#TI702.PV
24-Mar-26 16:00:36,40952.32813,79673.63281,294.6914673,70,39380.75781,1633.015625,8433.462891,22939.48633,204372.5781,609.2577515,99.84876251,0.14871794,13.06953812,-184.3750458,99.89161682,0.466997653,7.081756115,3.557141781,31.38587379,4.609946728,408.2544861,I/O Timeout,269.3412781,25,-180.6475372
24-Mar-26 16:10:36,41298.6875,79966.25781,295.1022034,70,39319.85156,1695.484009,8422.328125,22987.84766,204503.3906,612.3123779,99.86209106,0.147789702,12.84565067,-184.3457489,99.89280701,0.474122167,7.042513847,3.56419301,31.43116951,4.631142139,408.7304688,I/O Timeout,264.8357544,25,-180.6644135
24-Mar-26 16:20:36,41343.48438,79731.13281,293.2300415,70,38774.71094,1700.921021,8379.433594,23010.60156,206024.4531,622.7073975,99.85604858,0.155097321,12.81734943,-184.3431244,99.896698,0.489048332,7.032165051,3.566337824,31.34732628,4.629189014,408.1264954,I/O Timeout,290.2803955,25,-180.6764526
24-Mar-26 16:30:36,41762.07031,79775.45313,291.4488831,70,39060.39844,1685.847412,8433.849609,22830.16797,205474.2656,643.8723145,99.86515808,0.143883497,12.87424469,-184.3455811,99.90407562,0.501594961,7.043672562,3.558560371,31.47421455,4.631484985,408.6642456,I/O Timeout,268.0786133,25,-180.60849
24-Mar-26 16:40:36,41760.24609,79811.60938,297.5756531,70,39316.375,1539.364624,8367.47168,23024.50977,205834.2188,732.3123779,99.83639526,0.152554184,12.99076557,-184.3592529,99.90556335,0.515544891,6.945481777,3.56788063,31.41015625,4.640905857,408.8349915,I/O Timeout,263.5856323,25,-180.6180573
24-Mar-26 16:50:36,41778.85938,79718.75781,296.4365845,70,38979.89063,1546.418823,7998.687988,23055.79492,206322.7969,721.6075439,99.84207153,0.149352074,13.17842102,-184.340683,99.90098572,0.522246301,7.019271851,3.583635569,31.51533127,4.642315865,408.9919739,I/O Timeout,271.240387,25,-180.6179199
24-Mar-26 17:00:36,41924.01563,80353.1875,294.9632568,70,38819.06641,1540.932495,8057.626953,22966.61328,205360.7656,724.2107544,99.82780457,0.142942891,13.03774261,-184.322113,99.89429474,0.524463534,7.031727791,3.615400314,31.73681068,4.65789938,409.4768066,I/O Timeout,265.1694641,25,-180.6151123
24-Mar-26 17:10:36,43057.4375,81157.42188,296.274353,70,39403.11328,1543.217407,8127.080078,23137.90039,208874.0469,718.3764648,99.86406708,0.147670284,12.94345951,-184.3056946,99.8944397,0.524872661,7.032436848,3.676290751,32.08939362,4.773919106,410.6107178,I/O Timeout,277.7785645,25,-180.6285858
24-Mar-26 17:20:36,42723.61328,80876.17969,238.7536316,60,38807.91797,1568.545532,8172.296875,23074.0957,208800.0156,725.0717163,99.81044006,0.153505802,12.99122524,-184.3035583,99.89444733,0.526904821,7.001422882,3.691788197,32.17645264,4.754101753,410.9777832,I/O Timeout,272.0099792,25,-180.6420288
24-Mar-26 17:30:36,42365.94141,81671.375,221.734375,55,39014.10547,1567.438965,8141.666992,23069.21484,208753.4063,713.7974243,99.81394958,0.151522651,13.4044857,-184.2830353,99.89472961,0.524665117,7.158674717,3.748381138,32.57023621,4.766908646,412.6247864,I/O Timeout,277.8196106,25,-180.6945648
24-Mar-26 17:40:36,43773.24219,82151.72656,223.2843628,55,39701.17969,1580.426758,8213.491211,23360.60156,213463.2656,710.2830811,99.83003998,0.15326272,13.33937359,-184.2361298,99.89369202,0.52426815,7.12066555,3.809458494,32.97805023,4.949593067,414.5778198,I/O Timeout,260.4933167,25,-180.683075
24-Mar-26 17:50:36,44939.5,85550.88281,208.209137,50,39806.69141,1583.174072,8396.892578,23538.64648,220172.8906,706.1454468,99.91536713,0.127021492,12.66479778,-184.1330414,99.89370728,0.52060914,7.038273811,4.072984219,34.44438171,5.233209133,418.7049561,I/O Timeout,285.3846741,25,-180.6568298
24-Mar-26 18:00:36,45311.20313,85253.75781,190.0237122,45,39715.06641,1536.021606,8280.168945,23058.19531,218880.2969,705.6601563,99.8707962,0.128570348,12.74773407,-184.1047821,99.89162445,0.519788146,7.07775259,4.085027218,34.4021225,5.218319893,420.4367065,I/O Timeout,283.8901062,25,-180.6558685
24-Mar-26 18:10:36,45897.89063,86433.20313,185.1716309,40,39313.44922,1437.154785,8414.630859,23521.15625,221142.9531,700.2370605,99.88240814,0.130570203,12.93778133,-184.0677643,99.89207458,0.5170241,7.046631336,4.201540947,35.35759735,5.338077068,422.8877563,I/O Timeout,281.6914368,25,-180.6546021
24-Mar-26 18:20:36,45287.91406,87093.90625,181.6271057,40,40402.52734,1415.022705,8471.875,23599.7793,221141.8438,696.9898682,99.81161499,0.129023194,13.32096004,-184.0756378,99.88998413,0.509281039,7.028691769,4.233423233,35.438797,5.319687366,423.4764709,I/O Timeout,261.0903931,25,-180.7212067
24-Mar-26 18:30:36,44956.27344,87631.28906,178.136322,40,39321.54688,1336.428833,8504.266602,23982.86328,220954.5156,671.6536865,99.79109192,0.128199562,13.46080685,-184.0623627,99.88425446,0.499575406,7.063426495,4.262522221,35.54698181,5.302493572,423.8539734,I/O Timeout,279.7324219,25,-180.7522278
24-Mar-26 18:40:36,44769.86719,87015.41406,164.0034943,40,40388.25391,1332.542969,8577.418945,23965.83789,220840.9688,618.5246582,99.75154114,0.120121241,13.55947876,-184.0569153,99.87436676,0.483430862,7.033327103,4.264392376,35.48480225,5.298150063,424.0692139,I/O Timeout,276.9622803,26,-180.7449799
24-Mar-26 18:50:36,43017.15234,87928.21094,145.3397675,50,40163.09766,1351.011841,8586.838867,23934.26758,220940.6719,618.9702148,99.77960205,0.120945096,13.48384762,-184.0515442,99.83660126,0.46649161,7.042433739,4.369716167,35.90221405,5.294013977,424.4673462,I/O Timeout,261.5724182,27,-180.7404175
24-Mar-26 19:00:36,43491.26172,88008.63281,205.8226013,60,39763.58594,1240.222046,8562.882813,23997.35938,220764.6719,614.1965332,99.80466461,0.128645182,13.2002964,-184.019516,99.67401886,0.447436303,6.94776535,4.360902309,35.84401321,5.307174683,424.5039673,I/O Timeout,280.5028992,27,-180.755127
24-Mar-26 19:10:36,44455.96484,87344.67188,228.0650177,60,39989.71094,1460.57605,8605.109375,23987.1543,221035.25,607.2215576,99.81565094,0.124758147,12.94612217,-184.0375977,99.63285828,0.427846611,7.002493382,4.318243027,35.6108284,5.290805817,424.1625671,I/O Timeout,291.3388977,27,-180.7552338
24-Mar-26 19:20:36,44694.23047,87006.82031,208.7357178,60,39597.51953,1631.092407,8592.765625,24065.36328,221055.6094,558.647583,99.79954529,0.126459211,13.09596157,-184.0623627,99.69998169,0.417929262,6.97381258,4.261538029,35.41285706,5.304784298,423.7571716,I/O Timeout,260.4031677,27,-180.7671814
24-Mar-26 19:30:36,43889.14453,87677.11719,227.6055145,65,40373.96094,1669.67334,8587.015625,24047.05664,220579.6875,554.9692993,99.81424713,0.122494809,13.18908787,-184.0334473,99.76290894,0.411992669,7.077120781,4.306246758,35.63219452,5.294858932,424.4657288,I/O Timeout,280.6662598,27,-180.7648163
24-Mar-26 19:40:36,44122.93359,87125.19531,235.0151825,65,40566.48438,1706.354736,8627.456055,23992.13086,220902.7031,549.7939453,99.8285675,0.124420404,13.03309822,-184.0535126,99.80036163,0.41084376,6.519310951,4.304326534,35.44932175,5.281564713,424.0816956,I/O Timeout,260.5663757,27,-180.7326965
24-Mar-26 19:50:36,44150.55078,87417.05469,236.4316559,65,40974.03516,1722.661377,8561.738281,23856.18945,220974.3594,545.4107666,99.83386993,0.130850792,12.8832655,-184.0337524,99.83511353,0.415600419,7.108859062,4.269636631,35.50194168,5.276294708,424.417511,I/O Timeout,270.8178406,27,-180.7303467
24-Mar-26 20:00:36,44311.83984,87172.38281,241.2475739,65,40501.61328,1731.540649,8525.267578,24089.92773,221113.1875,548.0350342,99.85101318,0.127060503,12.80029011,-184.0249176,99.85783386,0.42350167,6.979809761,4.25008297,35.43154526,5.286423683,424.3609009,I/O Timeout,266.1782837,27,-180.7124481
24-Mar-26 20:10:36,44640.58594,86901.67969,231.660675,65,40791.42969,1673.334595,8473.113281,23928.12305,220999.7188,541.9966431,99.84929657,0.132909566,12.69557858,-184.0391846,99.86981201,0.431322336,6.990633488,4.226698399,35.33826828,5.276811123,423.9821472,I/O Timeout,281.3602905,27,-180.7337646
24-Mar-26 20:20:36,44665.22266,87128.03125,232.7900085,65,41091.61328,1651.415039,8502.783203,24057.40039,220735.5,542.2563477,99.83997345,0.126513094,12.83191013,-184.0579376,99.86847687,0.434128225,7.028666019,4.242631435,35.3277359,5.282982349,424.0579224,I/O Timeout,260.355011,27,-180.73172
24-Mar-26 20:30:36,44442.03516,87028.33594,229.8396454,65,41184.54688,1687.76416,8612.457031,23931.4707,221120.1875,545.3097534,99.82998657,0.120215781,12.94900703,-184.0480957,99.87536621,0.437025398,6.999270916,4.237884045,35.32147217,5.280462265,423.9379272,I/O Timeout,274.7786865,27,-180.7138519
24-Mar-26 20:40:36,44404.67578,87262.19531,240.1637115,65,40873.59375,1633.064819,8581.393555,24000.42969,220842.7813,550.7040405,99.83008575,0.128947079,12.95884514,-184.0436401,99.88843536,0.440879762,6.922596931,4.262944698,35.35882187,5.298975945,423.7312012,I/O Timeout,266.1822205,27,-180.747818
24-Mar-26 20:50:36,44599.35547,87112.44531,252.2033844,65,40977.17578,1628.379639,8518.330078,24043.71094,221076.8906,554.1052246,99.82389832,0.126644731,12.89145565,-184.0623627,99.89066315,0.443610966,7.073495388,4.260490417,35.36932373,5.281609535,423.8749084,I/O Timeout,288.0648804,27,-180.6886902
24-Mar-26 21:00:36,44490.46484,87320.10156,251.1874237,65,40819.94141,1589.981079,8508.296875,23963.56055,221114.25,559.5612183,99.81731415,0.129023194,12.95819855,-184.0623627,99.89073181,0.446214646,7.007557392,4.242298603,35.31400681,5.287981987,423.7752686,I/O Timeout,299.2535095,27,-180.679184
24-Mar-26 21:10:36,44595.70313,87149.21094,242.1323547,65,40695.21484,1523.853149,8578.310547,24086.88477,221056.7813,555.1598511,99.80857086,0.122459739,13.00695801,-184.0579071,99.88903046,0.445099205,7.080489159,4.249701977,35.39922333,5.288801193,423.8308411,I/O Timeout,289.3394775,27,-180.7180481
24-Mar-26 21:20:36,44433.90234,87567.10156,250.4625244,65,40804.34375,1455.144287,8491.431641,24031.14258,221000.8125,554.7033691,99.80970001,0.13117075,13.05549717,-184.0482178,99.8894577,0.439255744,7.135318756,4.26716423,35.43010712,5.286466599,423.9099426,I/O Timeout,259.274292,27,-180.7545471
24-Mar-26 21:30:36,44460.30469,86890.0625,255.6049652,65,40847.51953,1459.681885,8599.079102,24019.16602,221224.7031,552.956604,99.80049896,0.12246152,13.01436424,-184.0579071,99.88525391,0.432002783,7.026519299,4.25934124,35.35897446,5.28943634,423.8214722,I/O Timeout,261.5061035,27,-180.7489929
24-Mar-26 21:40:36,44308.38281,87455.54688,255.1691742,65,40955.63281,1547.598999,8537.691406,24012.57031,220885.3438,544.8095093,99.80183411,0.129023194,13.01030064,-184.0623627,99.88791656,0.425387114,6.94865799,4.247361183,35.38132477,5.284971714,423.9462891,I/O Timeout,287.7366638,27,-180.7163391
24-Mar-26 21:50:36,44460.54688,87306.83594,251.5328979,65,41087.92578,1603.024292,8609.331055,24056.7832,220930.5625,548.5931396,99.80513,0.131249428,12.9651041,-184.0623627,99.88976288,0.419625521,6.978665829,4.255338669,35.35546875,5.287443161,424.1347351,I/O Timeout,291.1051025,27,-180.7070923
24-Mar-26 22:00:36,44357.92578,87386.76563,252.3486633,65,41050.5625,1605.376709,8589.320313,24021.93164,220678.7969,550.5275269,99.81175232,0.131054178,12.92466927,-184.0623627,99.89024353,0.416368365,7.066375732,4.238105774,35.36421585,5.282104969,424.2128601,I/O Timeout,281.441925,27,-180.7043762
24-Mar-26 22:10:36,44345.17578,87187.35156,241.9793091,65,40298.36719,1624.62439,8520.47168,24132.28516,220850.375,546.9745483,99.81482697,0.126796961,12.94986534,-184.0623627,99.88897705,0.415793717,7.01722002,4.247909546,35.39801788,5.279051304,424.1755981,I/O Timeout,262.8139038,27,-180.7245178
24-Mar-26 22:20:36,44370.34766,87219.92969,247.250351,65,40920.43359,1681.897827,8586.151367,24132.32617,221260.0156,541.7196045,99.82038879,0.126796961,12.86675167,-184.0480652,99.89061737,0.415860713,7.03219223,4.247784615,35.35667801,5.269174099,424.5004272,I/O Timeout,258.2127686,27,-180.7103577
24-Mar-26 22:30:36,44618.03906,86981.75781,246.552948,65,41047.91406,1698.186646,8553.517578,24033.93164,221025.75,519.6253052,99.82188416,0.126836017,12.82969093,-184.057785,99.8941803,0.419304401,6.966080666,4.223791122,35.26630783,5.28000927,424.3506165,I/O Timeout,257.3991699,27,-180.7190857
24-Mar-26 22:40:36,44620.42969,86945.60156,239.8392029,65,41383.71484,1713.327148,8552.375,23982.70703,220708.8281,514.1116943,99.81777191,0.12900269,12.86976337,-184.0576324,99.8934021,0.424149483,7.041153908,4.220691681,35.21637726,5.29144001,424.1237793,I/O Timeout,264.928894,27,-180.7348785
24-Mar-26 22:50:36,44685.91016,87250.79688,249.0874329,65,40634.71094,1694.392456,8528.383789,23947.90625,221149.7031,506.6550293,99.81355286,0.126838312,12.96965218,-184.0623627,99.89381409,0.427193433,7.059431076,4.231601238,35.22016907,5.264297962,423.8916321,I/O Timeout,288.4347839,27,-180.7302704
24-Mar-26 23:00:36,44533.93359,87409.82813,251.3780975,65,40985.46094,1683.900391,8535.833984,24057.10547,220593.0313,517.5284424,99.81528473,0.133598641,13.01634312,-184.0623627,99.89346313,0.429387778,7.048719883,4.249889374,35.32303619,5.283503056,424.1022339,I/O Timeout,278.2960205,27,-180.7087555
24-Mar-26 23:10:36,44563.62891,86543.98438,251.8633881,65,41074.18359,1672.208984,8614.179688,24026.81055,221173.9688,509.6487122,99.81413269,0.146871403,12.91353226,-184.0623627,99.89388275,0.433105856,7.013855457,4.203743935,35.32732391,5.302702427,423.9764099,I/O Timeout,276.3462219,27,-180.7184601
24-Mar-26 23:20:36,44452.70313,87049.29688,249.0504456,65,41111.46484,1664.729248,8527.376953,23973.64648,220803.9063,507.95224,99.81546783,0.150850177,12.95754719,-184.0486908,99.89632416,0.436285347,7.003469467,4.237129211,35.34527206,5.288790226,424.4781494,I/O Timeout,263.7924805,27,-180.7076416
24-Mar-26 23:30:36,44205.50391,86980.4375,248.2461395,65,40820.44531,1662.166504,8513.980469,24006.15234,219358.0938,508.6183777,99.80134583,0.124839373,12.91947365,-184.071228,99.8938446,0.439275891,7.117884159,4.200250149,35.25263596,5.197941303,423.5754089,I/O Timeout,278.8667908,27,-180.6946716
24-Mar-26 23:40:36,44075.45313,86358.0625,246.8424988,65,41004.37891,1642.249634,8533.602539,23981.41016,219441.5469,507.4174194,99.79800415,0.153239429,13.10433578,-184.0810852,99.89503479,0.443059444,7.015526772,4.194123268,35.00592804,5.209196568,423.7210388,I/O Timeout,268.8460083,27,-180.6890564
24-Mar-26 23:50:36,44970.28906,88352.5625,261.7226257,65,40948.84766,1685.166382,8595.204102,23773.93164,225251.6875,512.9688721,99.86763,0.124572746,12.67491913,-184.0249176,99.89429474,0.445231199,7.072742939,4.315591335,35.94059753,5.377858162,425.4077759,I/O Timeout,284.2695007,27,-180.6611023
25-Mar-26 00:00:36,44507.80078,86764.76563,254.7875214,65,41116.38281,1609.590454,7965.235352,23358.65234,220476.4219,506.9379272,99.80850983,0.12681745,12.43441677,-184.0654755,99.89434052,0.444931328,11.30704212,3.958009005,35.37794876,5.188387871,423.3973694,I/O Timeout,283.1299438,27,-180.6600494
25-Mar-26 00:10:36,44123.07422,87144.20313,251.0821075,65,41045.43359,1602.807983,8468.227539,23622.44727,221380.7813,502.0545349,99.82569885,0.135689214,12.95345402,-184.0259705,99.89469147,0.442759335,7.233501911,4.200813293,35.48827744,5.261116505,424.29599,I/O Timeout,273.7085266,27,-180.6399536
25-Mar-26 00:20:36,44451.20703,86728.89844,252.7455444,65,40477.44531,1601.462036,8562.540039,23804.18359,221461.4063,500.613739,99.83047485,0.125048622,12.6117487,-184.0446777,99.89513397,0.441670984,6.917062283,4.214701653,35.35981369,5.261401653,424.1967468,I/O Timeout,290.0845947,27,-180.6554108
25-Mar-26 00:30:36,44598.67578,86607.35938,265.381134,70,41103.72656,1595.113403,8516.586914,23840.65625,221326.6094,492.7550354,99.8263855,0.129023194,12.644701,-184.0632477,99.89317322,0.440767795,7.020005703,4.174601555,35.2221489,5.245666504,423.6319885,I/O Timeout,262.9177551,27,-180.7279816
25-Mar-26 00:40:36,44452.60938,85907.01563,279.4723206,70,40605.04297,1578.431519,8475.646484,23856.07227,220583.8281,496.1750183,99.79918671,0.131199166,12.94245052,-184.0802002,99.89335632,0.437884212,6.973594189,4.149196148,35.00505829,5.194032669,423.405365,I/O Timeout,276.5057373,27,-180.7483215
25-Mar-26 00:50:36,44261.19922,86797.07031,277.538208,70,40558.23828,1597.318359,8505.768555,23951.08203,221414.8125,482.6769409,99.81893921,0.131108999,12.92478657,-184.0632477,99.89259338,0.435458869,7.142274857,4.180983543,35.24255371,5.226442337,423.5482178,I/O Timeout,258.7500305,27,-180.7156677
25-Mar-26 01:00:36,44514.85547,86532.55469,285.335968,70,41282.21875,1607.020874,8530.634766,24064.55469,221067.4844,485.0801392,99.82067871,0.124624439,12.87371445,-184.0810852,99.89246368,0.434697837,6.957382202,4.186621189,35.19940186,5.242819786,423.261261,I/O Timeout,266.4199219,27,-180.7298431
25-Mar-26 01:10:36,44501.08203,86544.32813,284.8189392,70,41382.22266,1613.077148,8512.611328,23902.62695,221396.4375,487.3835449,99.82288361,0.120192125,12.74264812,-184.0632477,99.89401245,0.433311462,7.063060284,4.171589851,35.07852173,5.237415791,423.2687683,I/O Timeout,272.0288086,27,-180.7562866
25-Mar-26 01:20:36,44788.27344,86220.25,278.4769287,70,41254.375,1629.179565,8543.445313,24026.65625,220785.9844,487.4360657,99.80672455,0.124570727,12.8893919,-184.0810852,99.89353943,0.430639505,7.02314949,4.158988476,34.98748398,5.253078461,423.0675049,I/O Timeout,275.75177,27,-180.7476501
25-Mar-26 01:30:36,44850.08984,86166.54688,271.1121521,70,40695.64844,1610.015625,8465.361328,23882.99805,221039.2188,484.7957764,99.79486847,0.120191433,12.96768188,-184.0810852,99.89309692,0.428193837,6.950581074,4.137530327,35.00852966,5.208946228,423.1345215,I/O Timeout,271.1083679,27,-180.7380371
25-Mar-26 01:40:36,44129.13672,86527.92188,280.2398987,70,41338.44922,1629.546631,8529.50293,24005.33984,220996.1719,487.3178406,99.8092041,0.124517053,13.1234436,-184.0803528,99.89350128,0.427875817,6.593033791,4.206282616,35.17377853,5.263009548,423.5829163,I/O Timeout,288.5745239,27,-180.734848
25-Mar-26 01:50:36,44518.74219,86811.5625,286.936615,70,40923.17578,1635.319702,8503.582031,23957.53516,220918.5,482.0226135,99.80982971,0.13326098,12.9187746,-184.0810852,99.8937912,0.427363366,7.142200947,4.192601204,35.22073364,5.23179245,423.7430725,I/O Timeout,271.4719543,27,-180.7148438
25-Mar-26 02:00:36,44752.53906,86564.3125,283.6795959,70,40618.5,1622.245605,8506.051758,23972.38281,221385.3438,486.9730225,99.81563568,0.124570727,12.88716412,-184.0810852,99.8972702,0.425909251,7.01935482,4.182497501,35.15289688,5.261630058,423.7666016,I/O Timeout,275.2365723,27,-180.6934052
25-Mar-26 02:10:36,44769.92578,86449.95313,277.2956238,70,41307.85547,1628.481079,8530.28418,23917.80859,220737,481.9102478,99.80820465,0.124643557,12.88023949,-184.0803528,99.89472961,0.425704896,7.027132988,4.17942524,35.1312027,5.26138258,423.6379395,I/O Timeout,268.4407654,27,-180.7348785
25-Mar-26 02:20:36,44389.13672,86828.15625,277.6765137,70,41277.05859,1626.836914,8471.046875,24070.03906,220855.25,484.7443237,99.80592346,0.146285549,12.98316574,-184.0632477,99.89395905,0.423775971,7.096868515,4.197958469,35.19846344,5.228206635,423.7171631,I/O Timeout,274.586853,27,-180.7520905
25-Mar-26 02:30:36,44334.94531,86409.5625,275.7711182,70,40955.18359,1628.679932,8496.922852,24072.11914,220645.1875,483.6700439,99.80440521,0.12975584,12.98429108,-184.0810852,99.8926239,0.421119988,7.069084167,4.175832272,35.0432663,5.218869209,423.4138794,I/O Timeout,266.3937073,27,-180.7458801
25-Mar-26 02:40:36,44123.61328,86512.15625,283.5323486,70,41253.05859,1640.410889,8564.574219,23941.30273,221509.6406,469.3564758,99.80740356,0.150363818,12.974473,-184.0805206,99.89599609,0.418799967,6.953998566,4.190280437,35.03097916,5.232954502,423.3822021,I/O Timeout,273.3022461,27,-180.7391205
25-Mar-26 02:50:36,44186.55469,86885.39063,281.025116,70,40986.35547,1644.160645,8568.485352,23982.13086,221093.125,475.3745422,99.83535004,0.129931316,12.78849792,-184.0629425,99.89429474,0.420084715,7.010198593,4.210633278,35.19051743,5.253696918,423.3001709,I/O Timeout,268.6244202,27,-180.7787476
25-Mar-26 03:00:36,44566.73438,86477.98438,285.8288879,70,41201.91797,1645.210327,8470.819336,23914.68555,220812.3438,475.7045593,99.8285141,0.124461398,12.57762337,-184.0810852,99.89659882,0.422249794,6.941084385,4.17173481,35.00359726,5.214653492,422.8529053,I/O Timeout,282.8878174,27,-180.7780151
25-Mar-26 03:10:36,44523.39063,86424.42188,280.8348999,70,40214.03516,1630.569946,8426.458984,23866.33594,221316.5938,407.8194885,99.81439209,0.153857291,12.75739574,-184.0810852,99.904953,0.422841281,7.026355267,4.1389575,34.81772995,5.200541019,422.3952637,I/O Timeout,278.5900574,27,-180.7413788
25-Mar-26 03:20:36,44565.29297,86533.60938,273.3602295,70,41035.10156,1637.719238,8518.385742,23839.04102,220824.8125,50.09027481,99.80863953,0.130334929,12.94543648,-184.0805206,99.89686584,0.422948599,7.113930702,4.172095776,35.012043,5.250335217,422.9412842,I/O Timeout,276.418396,27,-180.7346039
25-Mar-26 03:30:36,44262.76953,86679.66406,282.9796143,70,41168.66406,1645.718018,8448.691406,23958.73047,220158.0625,135.594574,99.82519531,0.128767312,12.91607761,-184.0810852,99.89308929,0.423290133,7.073637009,4.185731411,35.2213974,5.239776611,423.4408264,I/O Timeout,270.4348145,27,-180.7508698
25-Mar-26 03:40:36,44182.26953,86902.10156,281.8924866,70,40900.9375,1646.230103,8469.375,23934.82031,221017.3438,239.6340179,99.82849121,0.152293265,12.78459263,-184.0805206,99.89643097,0.423026025,6.947348118,4.191527367,35.02020645,5.235007763,423.2049255,I/O Timeout,269.7292175,27,-180.758667
25-Mar-26 03:50:36,44206.81641,86900.97656,278.2776489,70,40854.875,1640.735229,8547.676758,24059.90039,220742.1719,104.5314636,99.83170319,0.134626821,12.67451954,-184.0623627,99.89622498,0.424408138,6.998357296,4.203983784,35.0391922,5.242337704,423.1440735,I/O Timeout,271.9529419,27,-180.7803345
